Año(aaaa)-Mes(mm),"Bogotá, D.C.",Cali,Medellín,Barranquilla,Armenia,Bucaramanga,Cartagena De Indias,Cúcuta,Florencia,Ibagué,Manizales,Montería,Neiva,Pasto,Pereira,Popayán,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,"Bogotá, D.C._mensual",Cali_mensual,Medellín_mensual,Barranquilla_mensual,Armenia_mensual,Bucaramanga_mensual,Cartagena De Indias_mensual,Cúcuta_mensual,Florencia_mensual,Ibagué_mensual,Manizales_mensual,Montería_mensual,Neiva_mensual,Pasto_mensual,Pereira_mensual,Popayán_mensual,Riohacha_mensual,Santa Marta_mensual,Sincelejo_mensual,Tunja_mensual,Valledupar_mensual,Villavicencio_mensual,"Bogotá, D.C._corr",Cali_corr,Medellín_corr,Barranquilla_corr,Armenia_corr,Bucaramanga_corr,Cartagena De Indias_corr,Cúcuta_corr,Florencia_corr,Ibagué_corr,Manizales_corr,Montería_corr,Neiva_corr,Pasto_corr,Pereira_corr,Popayán_corr,Riohacha_corr,Santa Marta_corr,Sincelejo_corr,Tunja_corr,Valledupar_corr,Villavicencio_corr,"Bogotá, D.C._anual",Cali_anual,Medellín_anual,Barranquilla_anual,Armenia_anual,Bucaramanga_anual,Cartagena De Indias_anual,Cúcuta_anual,Florencia_anual,Ibagué_anual,Manizales_anual,Montería_anual,Neiva_anual,Pasto_anual,Pereira_anual,Popayán_anual,Riohacha_anual,Santa Marta_anual,Sincelejo_anual,Tunja_anual,Valledupar_anual,Villavicencio_anual
2009-12,70.92,72.79,69.91,69.68,73.23,68.97,71.17,74.71,74.34,72.04,70,72.3,72.74,73.52,72.5,73.29,72.77,73.33,72.42,73.63,71.8,73.6,-0.08,0.05,0.47,0.12,0.09,0.31,0.1,0.05,0.05,0.09,0,0.02,0.46,0.22,0.02,0.32,0.12,0.22,-0.09,0.09,0,0.07,1.88,1.2,2.47,1.8,1.13,3.13,2.03,4.47,1.65,2.21,1.22,1.55,2.82,1.61,1.77,1.98,0.98,1.69,1.6,2.23,2.79,2.26,1.88,1.2,2.47,1.8,1.13,3.13,2.03,4.47,1.65,2.21,1.22,1.55,2.82,1.61,1.77,1.98,0.98,1.69,1.6,2.23,2.79,2.26
2010-01,71.44,73.23,70.51,70.03,73.57,69.57,71.45,74.99,74.73,72.73,70.32,72.83,73.17,73.92,72.88,73.62,73.29,73.8,72.71,73.93,72.42,74.16,0.72,0.61,0.85,0.51,0.46,0.87,0.4,0.38,0.53,0.96,0.46,0.74,0.58,0.54,0.52,0.46,0.71,0.64,0.39,0.41,0.86,0.76,0.72,0.61,0.85,0.51,0.46,0.87,0.4,0.38,0.53,0.96,0.46,0.74,0.58,0.54,0.52,0.46,0.71,0.64,0.39,0.41,0.86,0.76,2.08,1.21,2.7,1.74,0.98,2.99,1.45,3.98,1.82,2.61,1.07,1.78,2.69,2.02,1.57,2.27,0.97,1.84,1.39,2.32,3.09,2.44
2010-02,72.02,73.64,71.17,70.71,73.96,70.39,72.08,75.58,75.2,73.26,70.75,73.48,73.73,74.29,73.36,74.7,73.96,74.51,73.34,74.7,73.13,74.96,0.82,0.56,0.95,0.97,0.53,1.19,0.88,0.78,0.62,0.72,0.62,0.89,0.77,0.5,0.66,1.47,0.91,0.96,0.87,1.03,0.98,1.08,1.54,1.17,1.8,1.49,0.99,2.07,1.28,1.17,1.16,1.69,1.08,1.63,1.36,1.04,1.19,1.93,1.63,1.61,1.27,1.44,1.85,1.85,1.92,1.37,2.69,1.89,1,3.23,1.65,3.8,1.96,2.55,1.16,2.03,3.1,1.74,1.81,2.98,1.49,2.2,1.7,2.07,3.52,2.71
2010-03,72.2,73.9,71.24,70.79,74.17,70.69,72.04,76.19,75.49,73.56,70.87,73.68,73.79,74.62,73.66,74.67,74.15,74.75,73.62,75.05,73.35,75.27,0.25,0.35,0.09,0.11,0.28,0.41,-0.06,0.8,0.39,0.42,0.17,0.27,0.08,0.45,0.41,-0.05,0.26,0.32,0.39,0.47,0.3,0.42,1.8,1.52,1.89,1.6,1.28,2.49,1.22,1.99,1.55,2.12,1.25,1.91,1.44,1.5,1.6,1.89,1.89,1.94,1.66,1.92,2.16,2.27,1.69,1.35,2.3,1.48,0.72,3.31,1.13,3.74,1.85,2.29,0.85,1.5,2.58,1.29,1.54,2.1,1.32,1.82,1.34,1.95,3.08,2.65
2010-04,72.4,74.3,71.59,71.38,74.66,71.22,72.57,76.81,75.77,74,71.23,74.33,74.08,74.81,73.83,74.92,74.86,75.36,74.13,75.11,74.21,75.64,0.28,0.55,0.5,0.83,0.66,0.76,0.74,0.82,0.37,0.6,0.5,0.88,0.39,0.25,0.23,0.34,0.96,0.83,0.69,0.09,1.17,0.49,2.09,2.08,2.4,2.44,1.95,3.27,1.97,2.82,1.92,2.73,1.76,2.81,1.84,1.75,1.83,2.23,2.86,2.78,2.36,2.01,3.36,2.77,1.63,1.68,2.46,2.09,1.28,3.89,1.54,4.26,1.73,2.53,1.12,1.92,2.68,0.92,1.56,1.85,2.04,2.18,1.45,1.64,3.85,2.72
2010-05,72.57,74.33,71.62,71.37,74.66,71.13,72.76,76.6,75.75,74.03,71.28,74.34,74.36,74.77,73.87,75.11,74.42,75.15,74.01,74.9,74.01,75.75,0.23,0.03,0.03,-0.01,-0.01,-0.13,0.26,-0.27,-0.03,0.03,0.08,0.02,0.37,-0.05,0.05,0.25,-0.58,-0.28,-0.17,-0.28,-0.27,0.14,2.33,2.12,2.44,2.44,1.94,3.13,2.24,2.54,1.89,2.76,1.84,2.83,2.22,1.7,1.89,2.5,2.27,2.49,2.19,1.73,3.08,2.92,1.88,1.64,2.47,2.14,1.13,3.52,1.81,3.84,1.81,2.53,1.11,2.26,2.89,1,1.64,2.1,1.49,1.9,1.55,1.31,3.62,2.71
2010-06,72.65,74.47,71.68,71.5,74.86,71.13,72.89,76.67,75.84,74.09,71.3,74.53,74.39,74.74,74.06,74.95,74.44,75.29,74.39,74.68,74.02,75.82,0.11,0.19,0.08,0.17,0.28,0.01,0.18,0.08,0.12,0.09,0.03,0.25,0.05,-0.05,0.26,-0.22,0.03,0.19,0.52,-0.3,0.02,0.1,2.44,2.31,2.52,2.61,2.22,3.14,2.42,2.62,2.02,2.85,1.87,3.08,2.26,1.66,2.15,2.27,2.3,2.68,2.73,1.42,3.1,3.02,1.92,2.08,2.7,2.53,1.59,3.56,2.17,3.93,1.8,2.77,1.11,2.47,2.7,1.5,1.99,2.15,1.89,2.31,2.21,1.31,3.84,2.82
2010-07,72.64,74.4,71.69,71.33,74.69,71.1,72.81,76.73,75.98,74.18,71.3,74.34,74.27,74.68,74,74.8,74.13,75.14,74.68,74.49,73.94,75.88,-0.02,-0.09,0.02,-0.23,-0.23,-0.05,-0.11,0.08,0.18,0.12,0,-0.25,-0.16,-0.08,-0.09,-0.21,-0.41,-0.2,0.39,-0.26,-0.12,0.07,2.42,2.21,2.54,2.37,1.99,3.09,2.3,2.7,2.2,2.98,1.87,2.83,2.1,1.57,2.06,2.06,1.87,2.48,3.13,1.16,2.98,3.1,1.97,2.01,2.76,2.35,1.38,3.39,2.11,3.71,1.9,2.85,1.23,2.46,2.34,1.53,2.09,2,2.06,2.36,2.72,1.27,2.76,2.8
2010-08,72.79,74.32,71.77,71.54,74.64,71.19,72.95,76.09,76.15,74.24,71.42,74.49,74.43,74.61,73.93,74.61,74.18,75.28,74.61,74.52,74.12,75.88,0.22,-0.1,0.12,0.29,-0.06,0.13,0.2,-0.83,0.22,0.08,0.16,0.19,0.21,-0.09,-0.09,-0.25,0.06,0.18,-0.1,0.04,0.25,0,2.64,2.11,2.66,2.67,1.93,3.23,2.51,1.85,2.43,3.06,2.04,3.02,2.31,1.48,1.97,1.8,1.93,2.67,3.02,1.2,3.24,3.1,2.24,1.78,2.68,2.42,1.2,3.54,2.34,2.67,2.18,2.9,1.38,2.48,2.51,1.51,1.88,1.92,2.06,2.46,2.51,1.33,2.88,2.86
2010-09,72.79,73.8,71.75,71.43,74.59,71.08,72.78,75.58,76.2,73.93,71.32,74.23,74.21,74.71,74.2,74.42,74.07,75.24,74.05,74.49,73.96,75.86,-0.01,-0.7,-0.03,-0.14,-0.07,-0.16,-0.24,-0.67,0.07,-0.43,-0.14,-0.35,-0.29,0.13,0.36,-0.25,-0.14,-0.06,-0.74,-0.03,-0.22,-0.03,2.63,1.39,2.63,2.52,1.86,3.07,2.27,1.17,2.5,2.62,1.9,2.67,2.02,1.62,2.34,1.55,1.79,2.61,2.26,1.17,3.01,3.07,2.33,1.36,2.79,2.42,1.39,3.31,2.12,1.51,2.46,2.67,1.43,2.27,2.52,1.62,2.06,1.87,2.05,2.64,1.95,1.43,2.91,2.99
